game 71/100: A white -> win (checkmate, 103 plies)  |  A vs B: +26 =20 -25 over 71 games, score 50.7%, elo +5 (95% -65..+75), avg plies 110, checkmate 51, insufficient_material 3, threefold_repetition 17
game 72/100: A black -> loss (checkmate, 77 plies)  |  A vs B: +26 =20 -26 over 72 games, score 50.0%, elo -0 (95% -70..+70), avg plies 109, checkmate 52, insufficient_material 3, threefold_repetition 17
game 73/100: A white -> win (checkmate, 137 plies)  |  A vs B: +27 =20 -26 over 73 games, score 50.7%, elo +5 (95% -64..+74), avg plies 110, checkmate 53, insufficient_material 3, threefold_repetition 17
game 74/100: A black -> loss (checkmate, 87 plies)  |  A vs B: +27 =20 -27 over 74 games, score 50.0%, elo -0 (95% -69..+69), avg plies 110, checkmate 54, insufficient_material 3, threefold_repetition 17
game 75/100: A white -> loss (checkmate, 92 plies)  |  A vs B: +27 =20 -28 over 75 games, score 49.3%, elo -5 (95% -73..+64), avg plies 109, checkmate 55, insufficient_material 3, threefold_repetition 17
game 76/100: A black -> win (checkmate, 122 plies)  |  A vs B: +28 =20 -28 over 76 games, score 50.0%, elo -0 (95% -68..+68), avg plies 109, checkmate 56, insufficient_material 3, threefold_repetition 17
game 77/100: A white -> loss (checkmate, 128 plies)  |  A vs B: +28 =20 -29 over 77 games, score 49.4%, elo -5 (95% -73..+63), avg plies 110, checkmate 57, insufficient_material 3, threefold_repetition 17
game 78/100: A black -> draw (threefold_repetition, 237 plies)  |  A vs B: +28 =21 -29 over 78 games, score 49.4%, elo -4 (95% -72..+63), avg plies 111, checkmate 57, insufficient_material 3, threefold_repetition 18
game 79/100: A white -> win (checkmate, 103 plies)  |  A vs B: +29 =21 -29 over 79 games, score 50.0%, elo -0 (95% -67..+67), avg plies 111, checkmate 58, insufficient_material 3, threefold_repetition 18
game 80/100: A black -> draw (threefold_repetition, 207 plies)  |  A vs B: +29 =22 -29 over 80 games, score 50.0%, elo -0 (95% -66..+66), avg plies 112, checkmate 58, insufficient_material 3, threefold_repetition 19
game 81/100: A white -> draw (threefold_repetition, 86 plies)  |  A vs B: +29 =23 -29 over 81 games, score 50.0%, elo -0 (95% -65..+65), avg plies 112, checkmate 58, insufficient_material 3, threefold_repetition 20
game 82/100: A black -> draw (threefold_repetition, 91 plies)  |  A vs B: +29 =24 -29 over 82 games, score 50.0%, elo -0 (95% -64..+64), avg plies 112, checkmate 58, insufficient_material 3, threefold_repetition 21
game 83/100: A white -> draw (threefold_repetition, 134 plies)  |  A vs B: +29 =25 -29 over 83 games, score 50.0%, elo -0 (95% -64..+64), avg plies 112, checkmate 58, insufficient_material 3, threefold_repetition 22
game 84/100: A black -> win (checkmate, 134 plies)  |  A vs B: +30 =25 -29 over 84 games, score 50.6%, elo +4 (95% -59..+68), avg plies 112, checkmate 59, insufficient_material 3, threefold_repetition 22
game 85/100: A white -> win (checkmate, 133 plies)  |  A vs B: +31 =25 -29 over 85 games, score 51.2%, elo +8 (95% -55..+72), avg plies 113, checkmate 60, insufficient_material 3, threefold_repetition 22
game 86/100: A black -> loss (checkmate, 121 plies)  |  A vs B: +31 =25 -30 over 86 games, score 50.6%, elo +4 (95% -59..+67), avg plies 113, checkmate 61, insufficient_material 3, threefold_repetition 22
game 87/100: A white -> win (checkmate, 161 plies)  |  A vs B: +32 =25 -30 over 87 games, score 51.1%, elo +8 (95% -54..+71), avg plies 113, checkmate 62, insufficient_material 3, threefold_repetition 22
game 88/100: A black -> loss (checkmate, 95 plies)  |  A vs B: +32 =25 -31 over 88 games, score 50.6%, elo +4 (95% -58..+67), avg plies 113, checkmate 63, insufficient_material 3, threefold_repetition 22
game 89/100: A white -> loss (checkmate, 124 plies)  |  A vs B: +32 =25 -32 over 89 games, score 50.0%, elo -0 (95% -62..+62), avg plies 113, checkmate 64, insufficient_material 3, threefold_repetition 22
game 90/100: A black -> loss (checkmate, 141 plies)  |  A vs B: +32 =25 -33 over 90 games, score 49.4%, elo -4 (95% -66..+58), avg plies 114, checkmate 65, insufficient_material 3, threefold_repetition 22
game 91/100: A white -> win (checkmate, 9 plies)  |  A vs B: +33 =25 -33 over 91 games, score 50.0%, elo -0 (95% -62..+62), avg plies 112, checkmate 66, insufficient_material 3, threefold_repetition 22
game 92/100: A black -> loss (checkmate, 9 plies)  |  A vs B: +33 =25 -34 over 92 games, score 49.5%, elo -4 (95% -65..+58), avg plies 111, checkmate 67, insufficient_material 3, threefold_repetition 22
game 93/100: A white -> draw (threefold_repetition, 166 plies)  |  A vs B: +33 =26 -34 over 93 games, score 49.5%, elo -4 (95% -65..+57), avg plies 112, checkmate 67, insufficient_material 3, threefold_repetition 23
game 94/100: A black -> win (checkmate, 90 plies)  |  A vs B: +34 =26 -34 over 94 games, score 50.0%, elo -0 (95% -61..+61), avg plies 112, checkmate 68, insufficient_material 3, threefold_repetition 23
game 95/100: A white -> loss (checkmate, 114 plies)  |  A vs B: +34 =26 -35 over 95 games, score 49.5%, elo -4 (95% -64..+57), avg plies 112, checkmate 69, insufficient_material 3, threefold_repetition 23
game 96/100: A black -> loss (checkmate, 111 plies)  |  A vs B: +34 =26 -36 over 96 games, score 49.0%, elo -7 (95% -68..+53), avg plies 112, checkmate 70, insufficient_material 3, threefold_repetition 23
game 97/100: A white -> win (checkmate, 95 plies)  |  A vs B: +35 =26 -36 over 97 games, score 49.5%, elo -4 (95% -64..+56), avg plies 111, checkmate 71, insufficient_material 3, threefold_repetition 23
game 98/100: A black -> draw (threefold_repetition, 54 plies)  |  A vs B: +35 =27 -36 over 98 games, score 49.5%, elo -4 (95% -63..+56), avg plies 111, checkmate 71, insufficient_material 3, threefold_repetition 24
game 99/100: A white -> draw (insufficient_material, 250 plies)  |  A vs B: +35 =28 -36 over 99 games, score 49.5%, elo -4 (95% -62..+55), avg plies 112, checkmate 71, insufficient_material 4, threefold_repetition 24
game 100/100: A black -> win (checkmate, 104 plies)  |  A vs B: +36 =28 -36 over 100 games, score 50.0%, elo -0 (95% -59..+59), avg plies 112, checkmate 72, insufficient_material 4, threefold_repetition 24

A vs B: +36 =28 -36 over 100 games, score 50.0%, elo -0 (95% -59..+59), avg plies 112, checkmate 72, insufficient_material 4, threefold_repetition 24
wall 754s cpu 128s nodes/move 4000 a='' b='P_RAZOR=0'
