game 84/100: A black -> loss (checkmate, 199 plies)  |  A vs B: +35 =23 -26 over 84 games, score 55.4%, elo +37 (95% -26..+103), avg plies 127, checkmate 61, insufficient_material 4, threefold_repetition 19
game 85/100: A white -> win (checkmate, 131 plies)  |  A vs B: +36 =23 -26 over 85 games, score 55.9%, elo +41 (95% -22..+107), avg plies 127, checkmate 62, insufficient_material 4, threefold_repetition 19
game 86/100: A black -> loss (checkmate, 137 plies)  |  A vs B: +36 =23 -27 over 86 games, score 55.2%, elo +36 (95% -26..+102), avg plies 127, checkmate 63, insufficient_material 4, threefold_repetition 19
game 87/100: A white -> draw (insufficient_material, 161 plies)  |  A vs B: +36 =24 -27 over 87 games, score 55.2%, elo +36 (95% -26..+101), avg plies 127, checkmate 63, insufficient_material 5, threefold_repetition 19
game 88/100: A black -> win (checkmate, 130 plies)  |  A vs B: +37 =24 -27 over 88 games, score 55.7%, elo +40 (95% -22..+104), avg plies 127, checkmate 64, insufficient_material 5, threefold_repetition 19
game 89/100: A white -> win (checkmate, 155 plies)  |  A vs B: +38 =24 -27 over 89 games, score 56.2%, elo +43 (95% -18..+108), avg plies 128, checkmate 65, insufficient_material 5, threefold_repetition 19
game 90/100: A black -> draw (threefold_repetition, 92 plies)  |  A vs B: +38 =25 -27 over 90 games, score 56.1%, elo +43 (95% -18..+106), avg plies 127, checkmate 65, insufficient_material 5, threefold_repetition 20
game 91/100: A white -> win (checkmate, 9 plies)  |  A vs B: +39 =25 -27 over 91 games, score 56.6%, elo +46 (95% -15..+110), avg plies 126, checkmate 66, insufficient_material 5, threefold_repetition 20
game 92/100: A black -> loss (checkmate, 9 plies)  |  A vs B: +39 =25 -28 over 92 games, score 56.0%, elo +42 (95% -19..+105), avg plies 125, checkmate 67, insufficient_material 5, threefold_repetition 20
game 93/100: A white -> win (checkmate, 59 plies)  |  A vs B: +40 =25 -28 over 93 games, score 56.5%, elo +45 (95% -15..+108), avg plies 124, checkmate 68, insufficient_material 5, threefold_repetition 20
