game 90/100: A black -> loss (checkmate, 111 plies)  |  A vs B: +40 =19 -31 over 90 games, score 55.0%, elo +35 (95% -29..+101), avg plies 124, checkmate 71, insufficient_material 2, threefold_repetition 17
game 91/100: A white -> win (checkmate, 9 plies)  |  A vs B: +41 =19 -31 over 91 games, score 55.5%, elo +38 (95% -25..+105), avg plies 123, checkmate 72, insufficient_material 2, threefold_repetition 17
game 92/100: A black -> loss (checkmate, 9 plies)  |  A vs B: +41 =19 -32 over 92 games, score 54.9%, elo +34 (95% -29..+100), avg plies 122, checkmate 73, insufficient_material 2, threefold_repetition 17
game 93/100: A white -> win (checkmate, 85 plies)  |  A vs B: +42 =19 -32 over 93 games, score 55.4%, elo +38 (95% -26..+103), avg plies 121, checkmate 74, insufficient_material 2, threefold_repetition 17
game 94/100: A black -> loss (checkmate, 83 plies)  |  A vs B: +42 =19 -33 over 94 games, score 54.8%, elo +33 (95% -30..+99), avg plies 121, checkmate 75, insufficient_material 2, threefold_repetition 17
game 95/100: A white -> win (checkmate, 159 plies)  |  A vs B: +43 =19 -33 over 95 games, score 55.3%, elo +37 (95% -26..+102), avg plies 121, checkmate 76, insufficient_material 2, threefold_repetition 17
game 96/100: A black -> loss (checkmate, 129 plies)  |  A vs B: +43 =19 -34 over 96 games, score 54.7%, elo +33 (95% -30..+97), avg plies 121, checkmate 77, insufficient_material 2, threefold_repetition 17
game 97/100: A white -> win (checkmate, 103 plies)  |  A vs B: +44 =19 -34 over 97 games, score 55.2%, elo +36 (95% -26..+100), avg plies 121, checkmate 78, insufficient_material 2, threefold_repetition 17
game 98/100: A black -> loss (checkmate, 97 plies)  |  A vs B: +44 =19 -35 over 98 games, score 54.6%, elo +32 (95% -30..+96), avg plies 121, checkmate 79, insufficient_material 2, threefold_repetition 17
game 99/100: A white -> win (checkmate, 75 plies)  |  A vs B: +45 =19 -35 over 99 games, score 55.1%, elo +35 (95% -26..+99), avg plies 121, checkmate 80, insufficient_material 2, threefold_repetition 17
game 100/100: A black -> win (checkmate, 146 plies)  |  A vs B: +46 =19 -35 over 100 games, score 55.5%, elo +38 (95% -23..+102), avg plies 121, checkmate 81, insufficient_material 2, threefold_repetition 17

A vs B: +46 =19 -35 over 100 games, score 55.5%, elo +38 (95% -23..+102), avg plies 121, checkmate 81, insufficient_material 2, threefold_repetition 17
wall 841s cpu 135s nodes/move 4000 a='' b='P_RFP=0'
