16 bots, 12000 games total, 0 already done, 12000 to play, 12 workers
[106/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.7s) | elapsed 2m, eta 174m
[107/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.5s) | elapsed 2m, eta 173m
[108/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (12.0s) | elapsed 2m, eta 173m
[109/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (9.0s) | elapsed 2m, eta 174m
[110/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (15.0s) | elapsed 2m, eta 173m
[111/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (13.0s) | elapsed 2m, eta 172m
[112/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.5s) | elapsed 2m, eta 177m
[113/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (13.9s) | elapsed 2m, eta 178m
[114/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.9s) | elapsed 2m, eta 177m
[115/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.9s) | elapsed 2m, eta 176m
[116/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.3s) | elapsed 2m, eta 175m
[117/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (8.7s) | elapsed 2m, eta 174m
[118/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.9s) | elapsed 2m, eta 175m
[119/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (10.2s) | elapsed 2m, eta 176m
[120/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (11.1s) | elapsed 2m, eta 176m
[121/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (17.1s) | elapsed 2m, eta 181m
[122/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (17.4s) | elapsed 2m, eta 179m
[123/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.7s) | elapsed 2m, eta 179m
[124/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (10.8s) | elapsed 2m, eta 180m
[125/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (12.1s) | elapsed 2m, eta 181m
[126/12000] 03_handcrafted_evaluation vs 01_negamax: white by checkmate (15.6s) | elapsed 2m, eta 181m
[127/12000] 01_negamax vs 03_handcrafted_evaluation: black by checkmate (14.2s) | elapsed 2m, eta 180m
